Start Date,1/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,11/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp
,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability
Dates,YLD_YTM_MID,PX_LAST,RSK_BB_ISSUER_DEFAULT,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,YLD_YTM_MID,PX_LAST,RSK_BB_ISSUER_DEFAULT,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,YLD_YTM_MID,PX_LAST,RSK_BB_ISSUER_DEFAULT,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,YLD_YTM_MID,PX_LAST,RSK_BB_ISSUER_DEFAULT,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,YLD_YTM_MID,PX_LAST,RSK_BB_ISSUER_DEFAULT,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,YLD_YTM_MID,PX_LAST,RSK_BB_ISSUER_DEFAULT,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB
1/1/2018,,,IG1,42,0.000001966,0.000228498,0.001288485,0.004953558,0.997,113.399,IG1,42,0.000001966,0.000228498,0.001288485,0.004953558,1.254,107.098,IG1,42,0.000001966,0.000228498,0.001288485,0.004953558,2.414,98.38,IG1,42,0.000001966,0.000228498,0.001288485,0.004953558,,,IG1,42,0.000001966,0.000228498,0.001288485,0.004953558,,,IG1,42,0.000001966,0.000228498,0.001288485,0.004953558
1/2/2018,,,IG1,41.6,0.000001902,0.000224292,0.001272039,0.004907919,1.018,113.219,IG1,41.6,0.000001902,0.000224292,0.001272039,0.004907919,1.289,106.75,IG1,41.6,0.000001902,0.000224292,0.001272039,0.004907919,2.502,97.527,IG1,41.6,0.000001902,0.000224292,0.001272039,0.004907919,,,IG1,41.6,0.000001902,0.000224292,0.001272039,0.004907919,,,IG1,41.6,0.000001902,0.000224292,0.001272039,0.004907919
1/3/2018,,,IG1,41.4,0.000001794,0.000217146,0.001244518,0.004833768,1.004,113.334,IG1,41.4,0.000001794,0.000217146,0.001244518,0.004833768,1.27,106.933,IG1,41.4,0.000001794,0.000217146,0.001244518,0.004833768,2.397,98.543,IG1,41.4,0.000001794,0.000217146,0.001244518,0.004833768,,,IG1,41.4,0.000001794,0.000217146,0.001244518,0.004833768,,,IG1,41.4,0.000001794,0.000217146,0.001244518,0.004833768
1/4/2018,,,IG1,41.3,0.000001721,0.000212161,0.001224764,0.004778579,0.995,113.398,IG1,41.3,0.000001721,0.000212161,0.001224764,0.004778579,1.252,107.106,IG1,41.3,0.000001721,0.000212161,0.001224764,0.004778579,2.407,98.445,IG1,41.3,0.000001721,0.000212161,0.001224764,0.004778579,,,IG1,41.3,0.000001721,0.000212161,0.001224764,0.004778579,,,IG1,41.3,0.000001721,0.000212161,0.001224764,0.004778579
1/5/2018,,,IG1,41,0.000001548,0.000199834,0.001175318,0.004639312,0.99,113.44,IG1,41,0.000001548,0.000199834,0.001175318,0.004639312,1.247,107.159,IG1,41,0.000001548,0.000199834,0.001175318,0.004639312,2.407,98.448,IG1,41,0.000001548,0.000199834,0.001175318,0.004639312,,,IG1,41,0.000001548,0.000199834,0.001175318,0.004639312,,,IG1,41,0.000001548,0.000199834,0.001175318,0.004639312
1/8/2018,,,IG1,40.9,0.00000165,0.00020721,0.001205155,0.004724162,0.973,113.58,IG1,40.9,0.00000165,0.00020721,0.001205155,0.004724162,1.232,107.307,IG1,40.9,0.00000165,0.00020721,0.001205155,0.004724162,2.403,98.489,IG1,40.9,0.00000165,0.00020721,0.001205155,0.004724162,,,IG1,40.9,0.00000165,0.00020721,0.001205155,0.004724162,,,IG1,40.9,0.00000165,0.00020721,0.001205155,0.004724162
1/9/2018,,,IG1,40.8,0.000001587,0.000202581,0.001186229,0.004669429,1.021,113.17,IG1,40.8,0.000001587,0.000202581,0.001186229,0.004669429,1.285,106.78,IG1,40.8,0.000001587,0.000202581,0.001186229,0.004669429,2.442,98.108,IG1,40.8,0.000001587,0.000202581,0.001186229,0.004669429,,,IG1,40.8,0.000001587,0.000202581,0.001186229,0.004669429,,,IG1,40.8,0.000001587,0.000202581,0.001186229,0.004669429
1/10/2018,,,IG1,40.8,0.0000016,0.000203418,0.001189232,0.004676364,1.027,113.114,IG1,40.8,0.0000016,0.000203418,0.001189232,0.004676364,1.305,106.578,IG1,40.8,0.0000016,0.000203418,0.001189232,0.004676364,2.451,98.019,IG1,40.8,0.0000016,0.000203418,0.001189232,0.004676364,,,IG1,40.8,0.0000016,0.000203418,0.001189232,0.004676364,,,IG1,40.8,0.0000016,0.000203418,0.001189232,0.004676364
