Start Date,1/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,11/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ELOFR 6 03/22/2029 REGS Corp,ELOFR 6 03/22/2029 REGS Corp,ELOFR 6 03/22/2029 REGS Corp,ELOFR 6 03/22/2029 REGS Corp,ELOFR 6 03/22/2029 REGS Corp,ELOFR 6 03/22/2029 REGS Corp,ELOFR 6 03/22/2029 REGS Corp,ELOFR 6 03/22/2029 REGS Corp,,ELOFR 4.875 12/08/2028 REGS Corp,ELOFR 4.875 12/08/2028 REGS Corp,ELOFR 4.875 12/08/2028 REGS Corp,ELOFR 4.875 12/08/2028 REGS Corp,ELOFR 4.875 12/08/2028 REGS Corp,ELOFR 4.875 12/08/2028 REGS Corp,ELOFR 4.875 12/08/2028 REGS Corp,ELOFR 4.875 12/08/2028 REGS Corp,,ELOFR 2.875 01/29/2026 REGS Corp,ELOFR 2.875 01/29/2026 REGS Corp,ELOFR 2.875 01/29/2026 REGS Corp,ELOFR 2.875 01/29/2026 REGS Corp,ELOFR 2.875 01/29/2026 REGS Corp,ELOFR 2.875 01/29/2026 REGS Corp,ELOFR 2.875 01/29/2026 REGS Corp,ELOFR 2.875 01/29/2026 REGS Corp,,ELOFR 3.25 07/23/2027 REGS Corp,ELOFR 3.25 07/23/2027 REGS Corp,ELOFR 3.25 07/23/2027 REGS Corp,ELOFR 3.25 07/23/2027 REGS Corp,ELOFR 3.25 07/23/2027 REGS Corp,ELOFR 3.25 07/23/2027 REGS Corp,ELOFR 3.25 07/23/2027 REGS Corp,ELOFR 3.25 07/23/2027 REGS Corp,,ELOFR 2.625 01/30/2024 REGS Corp,ELOFR 2.625 01/30/2024 REGS Corp,ELOFR 2.625 01/30/2024 REGS Corp,ELOFR 2.625 01/30/2024 REGS Corp,ELOFR 2.625 01/30/2024 REGS Corp,ELOFR 2.625 01/30/2024 REGS Corp,ELOFR 2.625 01/30/2024 REGS Corp,ELOFR 2.625 01/30/2024 REGS Corp,,,ELOFR 2.375 04/25/2025 REGS Corp,ELOFR 2.375 04/25/2025 REGS Corp,ELOFR 2.375 04/25/2025 REGS Corp,ELOFR 2.375 04/25/2025 REGS Corp,ELOFR 2.375 04/25/2025 REGS Corp,ELOFR 2.375 04/25/2025 REGS Corp,ELOFR 2.375 04/25/2025 REGS Corp,ELOFR 2.375 04/25/2025 REGS Corp,,,ELOFR 1.5 06/03/2024 REGS Corp,ELOFR 1.5 06/03/2024 REGS Corp,ELOFR 1.5 06/03/2024 REGS Corp,ELOFR 1.5 06/03/2024 REGS Corp,ELOFR 1.5 06/03/2024 REGS Corp,ELOFR 1.5 06/03/2024 REGS Corp,ELOFR 1.5 06/03/2024 REGS Corp,ELOFR 1.5 06/03/2024 REGS Corp,,,ELOFR 0 05/26/2028 Corp,ELOFR 0 05/26/2028 Corp,ELOFR 0 05/26/2028 Corp,ELOFR 0 05/26/2028 Corp,ELOFR 0 05/26/2028 Corp,ELOFR 0 05/26/2028 Corp,ELOFR 0 05/26/2028 Corp,ELOFR 0 05/26/2028 Corp,,,ELOFR 0 07/10/2030 Corp,ELOFR 0 07/10/2030 Corp,ELOFR 0 07/10/2030 Corp,ELOFR 0 07/10/2030 Corp,ELOFR 0 07/10/2030 Corp,ELOFR 0 07/10/2030 Corp,ELOFR 0 07/10/2030 Corp,ELOFR 0 07/10/2030 Corp,,,ELOFR 0 07/09/2027 Corp,ELOFR 0 07/09/2027 Corp,ELOFR 0 07/09/2027 Corp,ELOFR 0 07/09/2027 Corp,ELOFR 0 07/09/2027 Corp,ELOFR 0 07/09/2027 Corp,ELOFR 0 07/09/2027 Corp,ELOFR 0 07/09/2027 Corp,,,ELOFR 0 07/10/2025 Corp,ELOFR 0 07/10/2025 Corp,ELOFR 0 07/10/2025 Corp,ELOFR 0 07/10/2025 Corp,ELOFR 0 07/10/2025 Corp,ELOFR 0 07/10/2025 Corp,ELOFR 0 07/10/2025 Corp,ELOFR 0 07/10/2025 Corp,,,ELOFR 1.75 04/23/2021 REGS Corp,ELOFR 1.75 04/23/2021 REGS Corp,ELOFR 1.75 04/23/2021 REGS Corp,ELOFR 1.75 04/23/2021 REGS Corp,ELOFR 1.75 04/23/2021 REGS Corp,ELOFR 1.75 04/23/2021 REGS Corp,ELOFR 1.75 04/23/2021 REGS Corp,ELOFR 1.75 04/23/2021 REGS Corp,,,ELOFR 0 02/01/2020 REGS Corp,ELOFR 0 02/01/2020 REGS Corp,ELOFR 0 02/01/2020 REGS Corp,ELOFR 0 02/01/2020 REGS Corp,ELOFR 0 02/01/2020 REGS Corp,ELOFR 0 02/01/2020 REGS Corp,ELOFR 0 02/01/2020 REGS Corp,ELOFR 0 02/01/2020 REGS Corp,,,ELOFR 0.625 02/07/2022 REGS Corp,ELOFR 0.625 02/07/2022 REGS Corp,ELOFR 0.625 02/07/2022 REGS Corp,ELOFR 0.625 02/07/2022 REGS Corp,ELOFR 0.625 02/07/2022 REGS Corp,ELOFR 0.625 02/07/2022 REGS Corp,ELOFR 0.625 02/07/2022 REGS Corp,ELOFR 0.625 02/07/2022 REGS Corp,,,ELOFR 2.375 12/12/2022 REGS Corp,ELOFR 2.375 12/12/2022 REGS Corp,ELOFR 2.375 12/12/2022 REGS Corp,ELOFR 2.375 12/12/2022 REGS Corp,ELOFR 2.375 12/12/2022 REGS Corp,ELOFR 2.375 12/12/2022 REGS Corp,ELOFR 2.375 12/12/2022 REGS Corp,ELOFR 2.375 12/12/2022 REGS Corp,,,ELOFR 0 07/10/2023 Corp,ELOFR 0 07/10/2023 Corp,ELOFR 0 07/10/2023 Corp,ELOFR 0 07/10/2023 Corp,ELOFR 0 07/10/2023 Corp,ELOFR 0 07/10/2023 Corp,ELOFR 0 07/10/2023 Corp,ELOFR 0 07/10/2023 Corp
ELOFR 6 03/22/2029 REGS Corp,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Bloomberg Issuer Default Risk,ELOFR 4.875 12/08/2028 REGS Corp,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Bloomberg Issuer Default Risk,ELOFR 2.875 01/29/2026 REGS Corp,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Bloomberg Issuer Default Risk,ELOFR 3.25 07/23/2027 REGS Corp,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Bloomberg Issuer Default Risk,ELOFR 2.625 01/30/2024 REGS Corp,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Bloomberg Issuer Default Risk,,ELOFR 2.375 04/25/2025 REGS Corp,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Bloomberg Issuer Default Risk,,ELOFR 1.5 06/03/2024 REGS Corp,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Bloomberg Issuer Default Risk,,ELOFR 0 05/26/2028 Corp,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Bloomberg Issuer Default Risk,,ELOFR 0 07/10/2030 Corp,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Bloomberg Issuer Default Risk,,ELOFR 0 07/09/2027 Corp,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Bloomberg Issuer Default Risk,,ELOFR 0 07/10/2025 Corp,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Bloomberg Issuer Default Risk,,ELOFR 1.75 04/23/2021 REGS Corp,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Bloomberg Issuer Default Risk,,ELOFR 0 02/01/2020 REGS Corp,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Bloomberg Issuer Default Risk,,ELOFR 0.625 02/07/2022 REGS Corp,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Bloomberg Issuer Default Risk,,ELOFR 2.375 12/12/2022 REGS Corp,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Bloomberg Issuer Default Risk,,ELOFR 0 07/10/2023 Corp,Mid Yield To Maturity,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Bloomberg 1 Year Default Probability,Bloomberg 2 Year Default Probability,Bloomberg 3 Year Default Probability,Bloomberg 5 Year Default Probability,Bloomberg Issuer Default Risk
Dates,YLD_YTM_MID,PX_LAST,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,RSK_BB_ISSUER_DEFAULT,Dates,YLD_YTM_MID,PX_LAST,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,RSK_BB_ISSUER_DEFAULT,Dates,YLD_YTM_MID,PX_LAST,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,RSK_BB_ISSUER_DEFAULT,Dates,YLD_YTM_MID,PX_LAST,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,RSK_BB_ISSUER_DEFAULT,Dates,YLD_YTM_MID,PX_LAST,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,RSK_BB_ISSUER_DEFAULT,,Dates,YLD_YTM_MID,PX_LAST,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,RSK_BB_ISSUER_DEFAULT,,Dates,YLD_YTM_MID,PX_LAST,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,RSK_BB_ISSUER_DEFAULT,,Dates,YLD_YTM_MID,PX_LAST,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,RSK_BB_ISSUER_DEFAULT,,Dates,YLD_YTM_MID,PX_LAST,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,RSK_BB_ISSUER_DEFAULT,,Dates,YLD_YTM_MID,PX_LAST,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,RSK_BB_ISSUER_DEFAULT,,Dates,YLD_YTM_MID,PX_LAST,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,RSK_BB_ISSUER_DEFAULT,,Dates,YLD_YTM_MID,PX_LAST,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,RSK_BB_ISSUER_DEFAULT,,Dates,YLD_YTM_MID,PX_LAST,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,RSK_BB_ISSUER_DEFAULT,,Dates,YLD_YTM_MID,PX_LAST,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,RSK_BB_ISSUER_DEFAULT,,Dates,YLD_YTM_MID,PX_LAST,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,RSK_BB_ISSUER_DEFAULT,,Dates,YLD_YTM_MID,PX_LAST,RSK_BB_IMPLIED_CDS_SPREAD,BB_1YR_DEFAULT_PROB,BB_2Y_DEFAULT_PROB,BB_3Y_DEFAULT_PROB,BB_5Y_DEFAULT_PROB,RSK_BB_ISSUER_DEFAULT
1/1/2018,,,78.8,0.008319934,0.02042499,0.030980428,0.045714797,HY1,1/1/2018,,,78.8,0.008319934,0.02042499,0.030980428,0.045714797,HY1,1/1/2018,,,78.8,0.008319934,0.02042499,0.030980428,0.045714797,HY1,1/1/2018,,,78.8,0.008319934,0.02042499,0.030980428,0.045714797,HY1,1/1/2018,,,78.8,0.008319934,0.02042499,0.030980428,0.045714797,HY1,,1/1/2018,,,78.8,0.008319934,0.02042499,0.030980428,0.045714797,HY1,,1/1/2018,0.455,106.592,78.8,0.008319934,0.02042499,0.030980428,0.045714797,HY1,,1/1/2018,,,78.8,0.008319934,0.02042499,0.030980428,0.045714797,HY1,,1/1/2018,,,78.8,0.008319934,0.02042499,0.030980428,0.045714797,HY1,,1/1/2018,,,78.8,0.008319934,0.02042499,0.030980428,0.045714797,HY1,,1/1/2018,,,78.8,0.008319934,0.02042499,0.030980428,0.045714797,HY1,,1/1/2018,0.141,105.297,78.8,0.008319934,0.02042499,0.030980428,0.045714797,HY1,,1/1/2018,,,78.8,0.008319934,0.02042499,0.030980428,0.045714797,HY1,,1/1/2018,0.372,101.026,78.8,0.008319934,0.02042499,0.030980428,0.045714797,HY1,,1/1/2018,0.463,109.317,78.8,0.008319934,0.02042499,0.030980428,0.045714797,HY1,,1/1/2018,,,78.8,0.008319934,0.02042499,0.030980428,0.045714797,HY1
1/2/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,1/2/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,1/2/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,1/2/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,1/2/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/2/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/2/2018,0.455,106.592,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/2/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/2/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/2/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/2/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/2/2018,0.156,105.241,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/2/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/2/2018,0.377,101.004,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/2/2018,0.469,109.28,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/2/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1
1/3/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,1/3/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,1/3/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,1/3/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,1/3/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/3/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/3/2018,0.436,106.715,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/3/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/3/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/3/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/3/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/3/2018,0.144,105.276,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/3/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/3/2018,0.36,101.075,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/3/2018,0.452,109.361,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/3/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1
1/4/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,1/4/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,1/4/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,1/4/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,1/4/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/4/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/4/2018,0.447,106.628,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/4/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/4/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/4/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/4/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/4/2018,0.144,105.262,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/4/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/4/2018,0.356,101.087,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/4/2018,0.449,109.363,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/4/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1
1/5/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,1/5/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,1/5/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,1/5/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,1/5/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/5/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/5/2018,0.44,106.671,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/5/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/5/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/5/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/5/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/5/2018,0.139,105.275,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/5/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/5/2018,0.348,101.122,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/5/2018,0.441,109.398,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1,,1/5/2018,,,76.9,0.008082191,0.019958936,0.030361648,0.044944215,HY1
1/8/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,1/8/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,1/8/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,1/8/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,1/8/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/8/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/8/2018,0.46,106.54,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/8/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/8/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/8/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/8/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/8/2018,0.129,105.304,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/8/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/8/2018,0.337,101.166,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/8/2018,0.429,109.454,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/8/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1
1/9/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,1/9/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,1/9/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,1/9/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,1/9/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/9/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/9/2018,0.48,106.407,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/9/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/9/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/9/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/9/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/9/2018,0.135,105.281,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/9/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/9/2018,0.347,101.124,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/9/2018,0.443,109.377,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/9/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1
1/10/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,1/10/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,1/10/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,1/10/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,1/10/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/10/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/10/2018,0.485,106.372,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/10/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/10/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/10/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/10/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/10/2018,0.14,105.261,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/10/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/10/2018,0.355,101.091,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/10/2018,0.45,109.337,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1,,1/10/2018,,,75.1,0.00795128,0.019702308,0.030020923,0.044519901,HY1
